HDR,ROLLING SYSTEM DEMAND
VD,20220922004500,22678
VD,20220922005000,22846
VD,20220922005500,22814
VD,20220922010000,22867
VD,20220922010500,22881
VD,20220922011000,22745
VD,20220922011500,22634
VD,20220922012000,22419
VD,20220922012500,22434
VD,20220922013000,22335
VD,20220922013500,22279
VD,20220922014000,22289
VD,20220922014500,22262
VD,20220922015000,22224
VD,20220922015500,22185
VD,20220922020000,22115
VD,20220922020500,22088
VD,20220922021000,22081
VD,20220922021500,22062
VD,20220922022000,22046
VD,20220922022500,21910
VD,20220922023000,21913
VD,20220922023500,21977
VD,20220922024000,22105
VD,20220922024500,22042
VD,20220922025000,22035
VD,20220922025500,21878
VD,20220922030000,21800
VD,20220922030500,21749
VD,20220922031000,21641
VD,20220922031500,21654
VD,20220922032000,21858
VD,20220922032500,21914
VD,20220922033000,21947
VD,20220922033500,21938
VD,20220922034000,21914
VD,20220922034500,21847
VD,20220922035000,21700
VD,20220922035500,21714
VD,20220922040000,21715
VD,20220922040500,21613
VD,20220922041000,21837
VD,20220922041500,21884
VD,20220922042000,21934
VD,20220922042500,22063
VD,20220922043000,22141
VD,20220922043500,22274
VD,20220922044000,22717
VD,20220922044500,22926
VD,20220922045000,23226
VD,20220922045500,23490
VD,20220922050000,23778
VD,20220922050500,24262
VD,20220922051000,24875
VD,20220922051500,25382
VD,20220922052000,25816
VD,20220922052500,26116
VD,20220922053000,26181
VD,20220922053500,26464
VD,20220922054000,26721
VD,20220922054500,26971
VD,20220922055000,27278
VD,20220922055500,27796
VD,20220922060000,28493
VD,20220922060500,28920
VD,20220922061000,29322
VD,20220922061500,29891
VD,20220922062000,30146
VD,20220922062500,30231
VD,20220922063000,30352
VD,20220922063500,30533
VD,20220922064000,30717
VD,20220922064500,30850
VD,20220922065000,30968
VD,20220922065500,31083
VD,20220922070000,31156
VD,20220922070500,31256
VD,20220922071000,31393
VD,20220922071500,31371
VD,20220922072000,31360
VD,20220922072500,31366
VD,20220922073000,31305
VD,20220922073500,31388
VD,20220922074000,31336
VD,20220922074500,31284
VD,20220922075000,31244
VD,20220922075500,31237
VD,20220922080000,31223
VD,20220922080500,31036
VD,20220922081000,31048
VD,20220922081500,31016
VD,20220922082000,30985
VD,20220922082500,30891
VD,20220922083000,30803
VD,20220922083500,30758
VD,20220922084000,30674
VD,20220922084500,30634
VD,20220922085000,30573
VD,20220922085500,30406
VD,20220922090000,30306
VD,20220922090500,30245
VD,20220922091000,30178
VD,20220922091500,30070
VD,20220922092000,30202
VD,20220922092500,30006
VD,20220922093000,30036
VD,20220922093500,30136
VD,20220922094000,30136
VD,20220922094500,30142
VD,20220922095000,30015
VD,20220922095500,29905
VD,20220922100000,29783
VD,20220922100500,29697
VD,20220922101000,29652
VD,20220922101500,29591
VD,20220922102000,29542
VD,20220922102500,29578
VD,20220922103000,29561
VD,20220922103500,29663
VD,20220922104000,29709
VD,20220922104500,29772
VD,20220922105000,29715
VD,20220922105500,29705
VD,20220922110000,29744
VD,20220922110500,29847
VD,20220922111000,29817
VD,20220922111500,29727
VD,20220922112000,29735
VD,20220922112500,29666
VD,20220922113000,29613
VD,20220922113500,29606
VD,20220922114000,29608
VD,20220922114500,29609
VD,20220922115000,29594
VD,20220922115500,29581
VD,20220922120000,29501
VD,20220922120500,29445
VD,20220922121000,29315
VD,20220922121500,29220
VD,20220922122000,29284
VD,20220922122500,29255
VD,20220922123000,29351
VD,20220922123500,29603
VD,20220922124000,29762
VD,20220922124500,29709
VD,20220922125000,29678
VD,20220922125500,29709
VD,20220922130000,29697
VD,20220922130500,29559
VD,20220922131000,29636
VD,20220922131500,29631
VD,20220922132000,29636
